1;9525;9777;12637;13666;13917;11401;12091;12451;6485;6747;8533;10319;10728;11151;12007;12410;22550;44140;15266
2;111132;113388;111819;118996;127369;161453;171185;176699;125757;146000;164250;182500;204400;212864;200750;207775;202035;207580;257831
3;11987;12250;14165;14413;20354;14258;13898;13614;13969;13822;16910.5;19999;19775;26240;20075;19924;25268;22448;16747
4;24659;25117;20149;20517;26293;32295;31805;31345;32486;37313;37145.5;36978;36773;47602;47948;48034;60330;60958;36321
5;35874;36465;41339;44385;35492;40063;43302;45092;47034;78023;82153.5;86284;90692;95280;97779;71085;75716;126645;169412
6;6862;6983;6518;6753;7004;6638;7279;7295;7142;7230;7875;8520;8622;8723;8799;9056;9067;9120;14367
7;60074;60985;57509;60004;55373;60345;78204;79124;82458;78467;79276.5;80086;81797;83508;98225;100796;104314;98994;127346
8;2045;2662;2880;3091;2977;4717;5346;5727;7084;7667;7991;8315;8995;7765;7980;8062;8434;10800;26306
9;155030;146862;123608;132224;150637;148115;150774;168378;155462;153123;155443;157763;160063;162323;169425;173129;182176;244889;253119
10;42851;43245;42266;43702;44404;129283;131160;131565;132844;134608;115270.5;95933;97140;98319;99323;102359;115249;117201;91256
11;64795;61556;48263;55844;59417;52240;52808;52808;54165;68852;69598;70344;71083;69235;69797;72646;74035;74469;46364
12;25116;21878;24165;24643;24596;26586;27783;27813;26645;28201;28867.5;29534;29861;32492;32492;35028;36090;36704;31348
13;46012;46879;49066;53228;52071;56221;59595;61347;65463;65531;65207;64883;67420;70025;71671;71589;73644;60957;56393
14;127479;130069;100673;102153;109280;102761;100339;98389;102169;128232;126987;125742;136875;143938;141809;142453;165528;195297;143790
15;152626;153805;166102;177859;177573;177685;174196;171216;197828;197338;213701.5;230065;244148;238335;243449;235316;230673;234524;207516
16;15900;16272;17123;24112;25039;19831;21563;21198;21171;22801;24128.5;25456;25261;26645;26339;26551;32739;32941;24962
17;89305;84976;76351;79887;82938;93179;96521;98017;95569;88647;96188.5;103730;111487;114235;116293;132104;128451;129512;142330
18;13967;23727;16545;27665;25104;31797;33688;34670;22684;22717;28458.5;34200;35529;36893;37756;39410;45874;47799;58741
19;20365;20876;17360;18525;15336;18434;19725;20419;22197;25399;26174;26949;28161;29415;30149;31516;36037;42445;31970
20;23888;24601;18566;19080;17665;17156;17777;19785;19613;25108;26862;28616;28950;29288;29114;29478;34528;28404;26040
21;40075;41957;41460;43297;42763;44718;50127;49649;51008;46537;50844;55151;55140;63062;59770;59946;66056;63354;65625
22;3743;3827;11993;13314;8227;15934;18363;19862;11012;12031;13974.5;15918;17377;18960;19487;30999;33289;35282;48063
23;506;516;1179;1286;635;1717;1907;2018;1956;2091;3319;4547;4857;9749;10021;8431;8853;9175;5276
24;25409;25897;25191;27028;27199;27570;28146;28042;31801;32003;32252;32501;32695;34214;34218;34909;42720;33371;31275
25;75797;77952;51987;56280;50894;49998;63404;66601;56007;59426;59351;59276;62842;93440;96050;100643;100607;118715;135585
26;1937;1999;1878;1983;1815;1783;1898;1958;875;839;1140;1441;1501;1563;1601;1672;4096;4561;5161
27;475;735;734;793;537;476;521;547;539;571;634.5;698;740;783;805;843;771;799;2271
28;62594;59428;48124;49204;55804;66812;65940;65072;66414;60554;62587;64620;64369;79176;78697;79782;89528;89711;83095
29;393;400;1046;1122;419;1528;1627;1680;1728;1802;1867.5;1933;2015;1931;1977;2065;2130;2201;3170
30;31094;29234;31132;39008;36548;35905;36938;36978;37123;38007;36593;35179;38567;39232;40906;38816;43017;43676;40787
31;32267;32018;33713;42970;45242;49049;48388;47734;45265;46617;49738;52859;52635;53483;55667;59987;61523;62282;42104
32;195692;198302;175006;184538;191831;327241;340792;348065;212687;238928;249374;259820;267889;301418;307876;345483;357745;365622;413557
33;96014;91211;79535;82843;89966;80341;85869;86675;89633;95308;97176;99044;100921;102788;104285;163874;167792;164758;191784
34;22218;22838;16884;22307;22124;21130;21459;19239;21923;21204;22481;23758;24027;24297;24476;25156;24170;24216;29505
35;154232;157654;122501;121191;167921;152336;158459;161725;153300;158066;159919.5;161773;166680;208966;213376;267666;276688;293358;299245
36;39158;39630;33736;34857;35863;37086;42223;42266;56575;58374;59269;60164;60829;75497;58400;59364;73479;75227;55955
37;51946;53188;45774;48167;55067;66549;69828;71453;75282;72158;72904.5;73651;75683;78489;80170;83525;75737;91597;97160
38;361;437;432;378;419;466;556;610;571;609;678.5;748;828;917;941;841;880;909;1006
39;1740;1786;1452;1507;1474;1351;1523;1626;2019;2178;2570;2962;3195;3445;3540;3711;6089;6723;5851
40;98663;93199;94555;99526;99435;126141;131207;133560;136537;143926;148016.5;152107;144306;172743;176062;139073;144805;195337;170521
41;29429;31794;27045;27711;31254;27491;28256;28159;28168;32179;35461.5;38744;38993;39237;39264;40081;44145;43745;43802
42;80048;75479;73763;77986;60243;83149;86863;88653;97918;100952;105935;110918;114273;117678;120074;145718;148907;150185;134549
43;73510;72454;64926;68302;66150;81005;84196;85674;87020;89448;91774;94100;96657;99240;187905;193382;178141;180263;179779
